Date,Ingredients
2018-03,"Kumiko, Chicago,Photo:Emma Janzen,March 30, 2018,Weaving coffee into the classic gin & tonic formula, this recipe works well with many types of coffee and gin. “The botanicals of particular gins may highlight notes of various coffees or certain roasts,” Julia Momose says.,Share this recipe:,Fill a glass with ice. Stir to chill the glass, then strain out the melted water. Combine the coffee, honey syrup and gin in the glass. Stir to chill, then top with tonic water, add more ice as needed and twist a lemon peel over the top of the drink and use as a garnish.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 1 oz. gin,½ oz. honey syrup (2:1),1½ oz. cold-brew coffee,Fever-Tree tonic water,Tools:barspoon,Glass:Collins,Garnish:lemon peel"
2018-02,"Bastion, Nashville,Photo:Maddie Teren,February 28, 2018,ThePalomais beloved on both sides of the border, but when mezcal and Ancho Reyes come into play instead of tequila, the drink takes on new layers of smoke and spice.,Share this recipe:,Combine all the ingredients except the club soda in a shaker with ice and shake until chilled. Strain into a Collins glass over ice. Top with soda and garnish.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 1 1/2 oz. mezcal (Hannigan uses Siete Misterios Doba-Yej),1/2 oz. Ancho Reyes,3/4 oz. fresh grapefruit juice,1/2 oz. fresh lime juice,1/4 oz. agave nectar,2 drops salt solution (1:1 salt to water),Club soda,Tools:shaker, strainer,Glass:Collins,Garnish:grapefruit wedge dipped in sal de gusano (worm salt)"
2017-12,"December 27, 2017,Fresh lemon juice adds the perfect bright pop to this bold cocktail from theLiving Room Barat Charleston’s Dewberry Hotel.,1½ oz. bourbon¾ oz. Averna½ oz. Campari½ oz. Heering cherry liqueur¼ oz. fresh lemon juiceTools: shaker, strainerGlass: cocktailGarnish: large ball or cube of ice,Shake all the ingredients with ice to chill, then strain into a glass holding a single large ball or cube of ice.,Ryan Casey,The Dewberry Hotel, Charleston,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
2018-01," Chicago,Photo:Emma Janzen,January 03, 2018,At Jim Meehan’s Chicago bar Prairie School (now closed), the New York Sour gets some Canadian flavor with the addition of rye whiskey and maple syrup.,Share this recipe:,Shake the whiskey, lemon juice and maple syrup in a shaker tin with ice. Strain into a chilled coupe. Float the Malbec on top of the drink.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 2 oz. rye whiskey,¾ oz. fresh lemon juice,¼ oz. maple syrup,½ oz. dry red wine (Prairie School uses Malbec),Tools:shaker, strainer,Glass:coupe"
2018-01,"January 22, 2018,This yogurt cocktail fromTuskin Portland, Oregon, mirrors the flavors of the restaurant’s Middle Eastern food. “We took a modern classic—the Old Maid cocktail, which is from Sam Ross’ days at Milk & Honey—and we modified it by adding orgeat and yogurt,” says bar manager Tony Contreras, who likes the versatility of yogurt as a cocktail ingredient. “With that base, you can really throw a lot of different flavors at it.”,1½ oz. vodka1 oz. orgeat½ oz. fresh lemon juice½ oz.rich simple syrup(2:1)½ oz. whole milk plain yogurt2 cucumber slicesTools: shaker, strainer, fine strainerGlass: Old FashionedGarnish: cucumber ribbon, dried sumac (optional),Add all of the ingredients to an ice-filled shaker and shake well. Double-strain over fresh ice and garnish with a cucumber ribbon and a sprinkle of dried sumac, if available.,Tony Contreras forTusk, Portland, Oregon,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
2018-02," Toronto, Ontario,Photo:Ian Patterson,February 19, 2018,A touch of smoke brings depth to this bittersweet rum cocktail.,This rum cocktail from Sandy De Almeida’s home bar in Toronto is bittersweet, with a touch of smoke.,Share this recipe:,Stir all the ingredients with ice to chill, then strain into an ice-filled glass. Garnish.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 1 oz. Demerara rum (De Almeida uses El Dorado 12-year-old),1 oz. Campari,¾ oz. Averna,½ oz. mezcal (De Almeida uses Enmascarado 45-proof),1 dash Peychaud’s bitters,Tools:barspoon, strainer,Glass:Old Fashioned,Garnish:orange twist"
2020-03,"Pouring Ribbons, New York City,Photo:John Valls,March 03, 2020,A modern classic made with mezcal.,New cocktails are often born as riffs on old classics, but the genealogical chart of the Naked & Famous reads more like a soap opera plotline, combining elements of a classic cocktail, a modern favorite by acclaimed bartender Sam Ross, and an unexpected base spirit. Joaquín Simó, who created the drink during his tenure at New York’sDeath & Co, has called the cocktail “the bastard love child of a classicLast Wordand [Ross’s]Paper Plane, conceived in the mountains of Oaxaca.”,Using the four-equal-parts structure used by these two cocktails, Simó incorporates Chartreuse from the former and Aperol from the latter to complement the drink’s key ingredient, mezcal. “The botanical intensity of the two liqueurs gives such great length to the drink that it manages to be simultaneously crushable and complex,” says Simó. “There’sjustenough sugar to balance the tart lime and funky, smoky mezcal, but not so much that it gets cloying. It’s a great balancing act that gives the cocktail enough structure to let all its complex ingredients speak in turn, rather than all at once.”,Share this recipe:,Combine all of the ingredients in a shaker with ice and shake until chilled. Strain into a chilled coupe.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, ¾ oz. mezcal,¾ oz. yellow Chartreuse,¾ oz. Aperol,¾ oz. fresh lime juice,Tools:shaker, strainer,Glass:coupe"
2018-08,"Il Porcellino, Chicago,Photo:Emma Janzen,August 27, 2018,Two kinds of rum means double the fun.,In this subtle update on theKingston Negroni, two kinds of Jamaican rum bring extra depth to the traditional recipe.,Share this recipe:,Combine all ingredients in a mixing glass and stir until properly diluted. Strain into a double rocks glass over a large ice cube. Garnish with orange twist.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, ¾ oz. overproof Jamaican rum (Cox uses Smith & Cross),¾ oz. blended Jamaican rum (Cox uses Appleton Estate 12-year Rare Blend),¾ oz. Campari,1 oz. Cocchi Vermouth di Torino,Tools:barspoon,Glass:double rocks,Garnish:orange twist"
2018-05,"Death & Co., Denver,Photo:Elliott Clark,May 07, 2018,A bittersweet symphony of flavors.,Cold brew brings a bittersweet acidity to this tropical highball from the newDeath & Co. outpost in Denver.,Share this recipe:,Combine all the ingredients in a shaker with ice and shake until cold. Strain into a highball over crushed ice and garnish.,Share this recipe:,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, 1 oz. overproof rum (Buhler uses Plantation OFTD),½ oz. Jamaican rum (Buhler uses Smith and Cross),½ oz. blackstrap rum,1 ½ oz. pineapple juice,¾ oz. cold-brew concentrate,½ oz. Demerera syrup (1:1),Tools:shaker, strainer,Glass:highball,Garnish:pineapple fronds, grated nutmeg"
2018-02,"February 20, 2018,Dreaming of the tropics? This breezy blend of rum, citrus, coconut and vanilla will transport you immediately.,1½ oz. gold rum½ oz. overproof rum¼ oz. fresh lime juice¼ oz. fresh lemon juice¼ oz. vanilla syrup2 oz. coconut cream1½ dashes Angostura bittersTools: shaker, strainerGlass: double rocksGarnish: lemon wheel, toasted coconut flakes and a goji berry,Combine the ingredients in a shaker filled with crushed ice. Shake to chill. Strain into glass filled with crushed ice. Top with bitters; garnish.,Jonathan Buckley forSouth Seas Tiki Lounge, Charleston, South Carolina,Subscribe and Save,,Sign up for our newsletter and get biweekly recipes and articles delivered to your inbox.,Imbibe is liquid culture. In every issue of the James Beard award-winning magazine and on our website, we celebrate drinks as a distinct culinary category, deserving in-depth exploration of the people, places, cultures and flavors that make the world of drinks so fascinating.,Call Us Toll-Free1-877-246-2423or503-595-0144, "
